key,value
as-chariduar,784505:784105:784102:784101:784104:784026:784103,,
as-chhaygaon,781124:781134:781137:781141,,
as-demow,785671:785662,,
as-dergaon,785626:785614:785703:785619:785611:785618,,
as-dhakuakhana,787053:787055,as-dhakuakhana,3758
as-dhemaji,787057:787058,as-dhemaji,3753
as-dhubri,783324:783303:783323:783310:783331:783302:783339:783307:783320:783325:783301:783312:783321,as-dhubri,3662
as-dibrugarh,786004:786006:786008:786003:786005:786010:786012:786001:786007:786002,as-dibrugarh,373
as-digboi,786171:786173,as-digboi,3751
as-diphu,782461:782460:782462,as-diphu,3671
as-doom dooma,786190:786156:786150:786151:786159:786152:786160:786153:786154,,
as-dotma,783345:783346:783347:783337:783354,,
as-duliajan,786191:786692:786602,,
as-fekamari,783128:783135:783127:783131,,
as-goalpara,783125:783124:781320:783126:783120:783134:783122:783382:783121:783101,as-goalpara,3663
as-gogamukh,787056:787034:787026:787029:787035,,
as-gohpur,784168:784178:784172,as-gohpur,3715
as-golaghat,785622:785621:782475:785705:785613:785702:785610:785641:782470:785603:786121:785625:785623,as-golaghat,3774
as-golakganj,783338:783334,,
as-gossaigaon,783361:783350:783360:783336,,
as-guwahati,781013:781034:781005:781026:781014:781019:781003:781006:781010:781007:781012:781016:781002:781128:781032:781015:781036:781008:781028:781025:781035:781150:781011:781020:781027:781037:781039:781171:781132:781031:781029:781001:781021:781038:781122:781017:781125:781024:781018:781033:781040:781009:781004:781068:781022:781130:781030,as-guwahati,361
as-haflong,788819,as-haflong,3673
as-hailakandi,788163:788167:788162:788161:788151:788164:788155:788156:788150:788160:788165:788169:788152:788168,as-hailakandi,3844
as-hajo,781102:781104:781126:781103:781350,as-hajo,3664
as-hojai,782429:782439:782435:782445:782485,as-hojai,3674
as-howraghat,782441:782481,as-howraghat,3676
as-jaytishnagar,786155:786158:786157,,
as-jonai,787060,,
as-jorabat,782401:782402:781023,,
as-jorhat,785005:785002:785631:785014:785011:785007:785630:785003:785012:785018:785632:785016:785101:785634:785633:785010:785004:785001:785704:785006:785616:785013:785620:785009:785635:785113:785008:785015:785111,as-jorhat,376
as-kalain,788816:788804:788815:788817,,
as-kalgachia,781321:781319,,
as-kaliabor,782137:782136:784027:782139:782120:782138:782143,,
as-kampur town,782427:782426:782440:782450:782428,,
as-karimganj,788702:788713:788723:788711:788805:788706:788701:788803:788722:788712:788801:788802:788709:788720:788710:788806:788719,as-karimganj,3843
as-kokrajhar,783376:783394:783373:783372:783369:783370,as-kokrajhar,3661
as-kusumtala,784180:784182:784189,,
as-lakhipur,783132:783129:783330,,
as-lanka,782446:782448:782442,,
as-lumding,788832:782447,,
as-mahur,788831:788830,,
as-majuli,785105:785104:785110:785106:785102,as-majuli,3775
as-mangaldoi,784528:784525:784116:784526:784145:784148:784190:784522:784529:784521:781364:784115:784125:784144:784147:784146,as-mangaldoi,3713
as-manikpur,783391:783392,,
as-margherita,786181:786188:786182:786172:786187,,
as-moranhat,785669:786613:785675:785676:785673:785670,as-moranhat,3754
as-morigaon,782106:782403:782127:782411:782412:782108:782121:782410:782413:782104:782105,as-morigaon,3678
as-nagaon,782142:782144:782003:782101:782010:782001:782002,as-nagaon,3672
as-naharkatia,786612:786621:786610:786622:786623:786614,,
as-nalbari,781303:781351:781348:781344:781370:781334:781375:781369:781341:781336:781353:781339:781349:781337:781340:781347:781310:781335,as-nalbari,3624
as-narayanpur,784164:784163:787054:784165:784161:784162:787033,,
as-nazira,785687:785696:785701:785686:785684:785685:785678:785698:785666:785674,,
as-north lakhimpur,787031:787023:787032:791121:787051:784160:787001:787052,as-north lakhimpur,3752
as-pailapool,788106:788102:788101:788103:788098:788104:788107:788126,,
as-patharkandi,788727:788725:788726:788724:788728,,
as-puranaigudam,782141:782140:782135:782125:782102,,
as-ramkrishna nagar,788734:788166:788736,,
as-sarthebari,781307:781338:781311:781306:781312:781304:781374:781305:781309:781302:781138,,
as-sarupathar,785602:785601,,
as-silapathar,787059:787061:787110,,
as-silchar,788110:788026:788010:788005:788127:788025:788006:788003:788001:788007:788015:788014:788118:788002:788012:788011:788004:788117,as-silchar,3842
as-sivasagar,785663:785668:785644:785660:785697:785649:785643:785648:785667:784151:785665:785672:785640:785664,,
as-sonabarighat,788099:788123:788121:788116:788013:788119:788115,,
as-sonari,785691:785693:785694:785689:785688:786611:785695:785692:786624:785690,,
as-tamarhat,783332:783333,,
as-tamulpur,781360:781372:781368:781373:784527:781377,,
as-tengakhat,786103:786101,,
as-teok,785661:785638:785700:785682:785107:785683:785681:785636:785112:785680,,
as-tezpur,784001:784025:784150:784004:784028:784501:784002:784154:784153,as-tezpur,3712
as-thelamara,784111:784117:784502:784506:784118:784504:784112:784110:784149:784010,,
as-tihu,781371:781325:781328:781343:781355:781326:781378:781327:781330:781346:781329,,
as-tinsukia,786124:786192:786147:786126:786125:786145:786146:786170,,
as-udalguri,784508:784513:784507:784524:784510:784114:784523:784514:784509,as-udalguri,3711
as-udarbond,788111:788031:788030:788009:788108:788109,,
ba-barguna,8730:8740:8700:8701:8721:8720:8741,,
ba-barisal,8240:3440:8205:8210:8270:8206:8220:8200:8230:3420:8207:8250,,
ba-bhola,8360:8300:8310:8320:8311:8301:8321:8331:8350:8342:8340:8341,,
ba-jhalokathi,8402:8431:8403:8410:8432:8400:8433:8401:8420:8430:8421:8404,,
ba-patuakhali,8630:8623:8602:8622:8603:8601:8620:8621:8650:8640:8624:8641:8651:8610:8710:8600,,
bg -bagerhat,9382:9300:9301:9310:9350:9351:9371:9360:9320:9330:9302:9381:9311:9322:9385:9341:9340:9343:9370:9321:9380:9383:9372:9361:9384:9342,,
br-amba,824111:824123:824301,,
br-araria,854334:854333:854201:854311:854312:854329,br-araria,6453
br-arrah,802302:802314:802315:802156:802311:802237:802161:802312:802160:802304:802301:802316:802210:802163:802352:802313,br-arrah,6182
br-arwal,804426:804402:804419:804401:801110:802208:804430:804428,br-arwal,6337
br-aurai,843161:843360:843117:843312:843321,,
br-aurangabad-br,824102:824124:824121:824101,,
br-bahadurganj,855108:855101:855115,,
br-bakhtiarpur,803212:803211:803110,,
br-banka,814131:813103:813124:813125:813126:813106:813101:813127:813211:813102,br-banka,6424
br-barachatti,824220:824201,,
br-barauni,851135:851120:851122:851113:851118:851133:851112:851126:851119:851116:851115,br-barauni,6279
br-barbigha,811103:811101:803107:811104,,
br-barh,803214:803213:803215:803221,br-barh,6132
br-basopatti,847226:847228:847229,,
br-begusarai,848201:851134:851110:851218:848204:851225:851114:851102:851139:851130:851101:851210:851127:851132:851117:851131,br-begusarai,6243
br-benipatti,847305:847223:847308:847240:847102:847225:847230:847222:857225,br-benipatti,6271
br-benipur,847203:847201:847233:847427:847405:847202:847422:847103,br-benipur,6242
br-bettiah,845449:845460:845501:845459:845438:845487:845450:845454:845468,br-bettiah,6254
br-bhagalpur,813210:812004:813105:812002:812006:813233:812010:812003:812008:813112:812009:812007:812001:813113:812005:821002,br-bhagalpur,641
br-bharwara,847428:847303:847106:847123:847104:847304:847307,,
br-bhawanipur rajdham,854204:854203:854205,,
br-bhore,841441:841508:841426,,
br-bihar sharif,803118:803216:803101,,
br-bihta,800111:801118:801106:801103:801501:801102:801113:801112:801109:801108:801117:801104:801111,,
br-bikramganj,802221:802226:802214:802220:802212,br-bikramganj,6185
br-birpur,854340:854338:854335:854339:854336,br-birpur,6471
br-brahmapur,802112:802154:802183:802166:802134:802130:802157:802351:802165,,
br-buxar,802118:802131:802135:802113:802101:802116:802102:802103:802123,br-buxar,6183
br-chainpur,821106:821103,br-chainpur,6586:6535
br-chakai,811303,br-chakai,6347
br-chakia,845426:845413:845412:845414:845420,,
br-chandi,803114:803204:801305:803113:801307:803120:803123:803108,,
br-chhapra,841414:841301:841302:841412:841305:841311:841214:841316:841213:841312:841211,,
br-dalsingh sarai,848507:848503:848114:848116:851128:848160:851111:848220:848118,,
br-danapur,801105,br-danapur,6115
br-darbhanga,847429:846004:847122:846002:846001:846005:847101:847306:846008:847120:846006:846007:847121:846009:846003,br-darbhanga,6272
br-daudnagar,821310:824143:824113:824115:824120:824127:824213,br-daudnagar,6328
br-dehri on sone,821308:821307:821306:821305:821301:824112:821312,,
br-deo,824202:824218:824216,,
br-dhaka,845415:845427:845304:845303:843313:845418:845457,br-dhaka,6250
br-dholi,843104:843118:843105:843115:843147:843139:847107:844112:843121:843103:843119:843144:843102:843114:848115,,
br-dighwara,841207:841219:841216:841225:841222:841202:841221,,
br-dinara,802218:802117:802213:821112,,
br-dumraon,802120:802133:802111:802126:802119:802136:802127:802115,br-dumraon,6323
br-ekma,841204:841201:841206:841220:841209:841223:841205:841212:841208:841313,br-ekma,6155
br-fatuha,803205:803201:803202,,
br-forbesganj,854332:854331:854318:854344:854316:854328:854357,br-forbesganj,6455
br-gauripur,854116,,
